Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.16.0.1-192.168.10.50-49631-80-6,172.16.0.1,49631,192.168.10.50,80,6,5/7/2017 2:24,5169956,8,6,1101,4222.0,410,0,137.625,185.7586279,3525,0,703.6666667,1395.868284,1029.602573,2.707953414,397688.9231,1368409.299,4951173.0,112.0,218783.0,31254.71429,30686.29396,78311.0,219.0,5169833.0,1033966.6,2218975.06,5002421.0,840.0,0,0,0,0,172,132,1.547401951,1.160551463,0,3525,354.8666667,895.1151456,801231.1238,0,0,0,1,0,0,0,0,0,380.2142857,137.625,703.6666667,172,0,0,0,0,0,0,8,1101,6,4222,8192,254,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1-192.168.10.50-49631-80-6,172.16.0.1,49631,192.168.10.50,80,6,5/7/2017 2:24,229,2,0,12,0.0,6,6,6.0,0.0,0,0,0.0,0.0,52401.74672,8733.624454,229.0,0.0,229.0,229.0,229.0,229.0,0.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,8733.624454,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1-192.168.10.50-49632-80-6,172.16.0.1,49632,192.168.10.50,80,6,5/7/2017 2:24,5001928,3,1,12,0.0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.399074917,0.799691639,1667309.333,2886995.878,5000925.0,127.0,5001928.0,2500964.0,3535478.752,5000925.0,1003.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,0.599768729,0.19992291,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1-192.168.10.50-49633-80-6,172.16.0.1,49633,192.168.10.50,80,6,5/7/2017 2:24,5125872,8,7,1659,2514.0,467,0,207.375,221.2780652,1047,0,359.1428571,420.18386,814.1053854,2.926331364,366133.7143,1320784.35,4954614.0,73.0,171258.0,24465.42857,21945.24622,57169.0,1001.0,5125743.0,854290.5,2033515.304,5004981.0,2049.0,0,0,0,0,172,152,1.560710061,1.365621303,0,1047,260.8125,322.5548468,104041.6292,0,0,0,1,0,0,0,0,0,278.2,207.375,359.1428571,172,0,0,0,0,0,0,8,1659,7,2514,8192,262,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1-192.168.10.50-49633-80-6,172.16.0.1,49633,192.168.10.50,80,6,5/7/2017 2:25,214,2,0,12,0.0,6,6,6.0,0.0,0,0,0.0,0.0,56074.76636,9345.794393,214.0,0.0,214.0,214.0,214.0,214.0,0.0,214.0,214.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,9345.794393,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1-192.168.10.50-53058-80-6,172.16.0.1,53058,192.168.10.50,80,6,5/7/2017 9:01,5001683,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.799730811,1667227.667,2886874.343,5000703.0,137.0,5001683.0,2500841.5,3535338.037,5000703.0,980.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.599798108,0.199932703,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1-192.168.10.50-53692-80-6,172.16.0.1,53692,192.168.10.50,80,6,5/7/2017 9:48,507096,6,1,693,0.0,231,0,115.5,126.5239108,0,0,0.0,0.0,1366.60514,13.80409232,84516.0,98191.09611,200175.0,17.0,507096.0,101419.2,99543.87168,200175.0,140.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,40,11.83207913,1.972013189,0,231,86.625,119.5538582,14293.125,0,0,0,1,0,0,0,0,0,99.0,115.5,0.0,200,0,0,0,0,0,0,6,693,1,0,29200,28960,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1-192.168.10.50-53690-80-6,172.16.0.1,53690,192.168.10.50,80,6,5/7/2017 9:48,507376,6,1,693,0.0,231,0,115.5,126.5239108,0,0,0.0,0.0,1365.850967,13.79647441,84562.66667,98234.03029,200174.0,16.0,507376.0,101475.2,99584.92208,200174.0,187.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,40,11.82554949,1.970924916,0,231,86.625,119.5538582,14293.125,0,0,0,1,0,0,0,0,0,99.0,115.5,0.0,200,0,0,0,0,0,0,6,693,1,0,29200,28960,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1-192.168.10.50-53688-80-6,172.16.0.1,53688,192.168.10.50,80,6,5/7/2017 9:48,507477,6,1,693,0.0,231,0,115.5,126.5239108,0,0,0.0,0.0,1365.57913,13.79372858,84579.5,98215.06552,199941.0,32.0,507477.0,101495.4,99557.25546,199941.0,394.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,40,11.82319593,1.970532655,0,231,86.625,119.5538582,14293.125,0,0,0,1,0,0,0,0,0,99.0,115.5,0.0,200,0,0,0,0,0,0,6,693,1,0,29200,28960,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
172.16.0.1-192.168.10.50-53686-80-6,172.16.0.1,53686,192.168.10.50,80,6,5/7/2017 9:48,507581,6,1,693,0.0,231,0,115.5,126.5239108,0,0,0.0,0.0,1365.299332,13.79090234,84596.83333,98164.08896,200175.0,61.0,507581.0,101516.2,99490.00268,200175.0,469.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,40,11.82077343,1.970128906,0,231,86.625,119.5538582,14293.125,0,0,0,1,0,0,0,0,0,99.0,115.5,0.0,200,0,0,0,0,0,0,6,693,1,0,29200,28960,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
